format,dist_name,bits,mse,snr_db,kl_div,max_ae,eff_bits,enc_data_bits_per_element,enc_metadata_bits_per_element,dist_type,dist_sigma,enc_bandwidth_amplification,enc_dense_bits,enc_sparse_bits,enc_sparsity_ratio,dist_b,dist_nu,dist_mu1,dist_mu2,dist_outlier_ratio,dist_outlier_sigma,dist_n_outlier_channels,dist_spike_ratio,dist_spike_multiplier,dist_n_spikes,dist_mu
INT8,Student-t(ν=3),8,0.03726427401610841,17.333567350234024,0.7292183174818541,2.3405537605285645,2.879043218268235,8.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
MXINT4,Student-t(ν=3),4,0.09772771883385054,13.14631638170464,20.760490969358095,2.8093037605285645,2.1835558866331306,4.0,0.25,student_t,,1.0625,,,,,3.0,,,,,,,,,
MXINT8,Student-t(ν=3),8,0.08703211937662877,13.649698402888774,1.4384640451749862,2.3405537605285645,2.267165830564769,8.0,0.25,student_t,,1.03125,,,,,3.0,,,,,,,,,
MXFP4,Student-t(ν=3),4,0.10259694721921028,12.935149612325525,19.6845028577389,2.9029898643493652,2.1484818454377765,4.0,0.25,student_t,,1.0625,,,,,3.0,,,,,,,,,
MXFP8,Student-t(ν=3),8,0.08333599289559832,13.83816785601985,7.598004372191701,2.8093037605285645,2.298469929133978,8.0,0.25,student_t,,1.03125,,,,,3.0,,,,,,,,,
NVFP4,Student-t(ν=3),4,0.03031861781877729,18.229400011675633,22.840907890738013,0.7472295761108398,3.027837802586265,4.0,0.0,student_t,,,,,,,3.0,,,,,,,,,
NF4,Student-t(ν=3),4,0.03166364436986614,18.04088500619336,23.033332772933246,0.8602786064147949,2.996526137935294,4.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
FP6,Student-t(ν=3),6,0.005367220047577746,25.748999986892528,11.892892300949317,0.4063138961791992,4.276816323585631,6.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
SQ-Format,Student-t(ν=3),4,0.06130201206346306,15.171746705034373,22.691985313434845,2.3405537605285645,2.5199725813984224,5.04,1.0,student_t,,1.26,4.0,8.0,0.01,,3.0,,,,,,,,,
HAD+INT4(C),Student-t(ν=3),4,0.04920410641217507,16.126480506691365,2.680444085358653,0.6951746940612793,2.678550433341572,4.0,0.0,student_t,,1.0,,,,,3.0,,,,,,,,,
