format,layer_name,layer_type,tensor_type,bits,mse,snr_db,eff_bits,max_ae,mean,std,outlier_ratio,n_batches,n_elements
HAD+INT8(T),classifier,Linear,output,8,,,,,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
MXINT4,embed,Linear,input,4,0.0011466192385225812,19.359923881401734,3.215613752825461,0.12450981140136719,0.1365244546780963,0.31456167318907885,0.0,8,200704
MXINT4,embed,Linear,weight,4,0.00012315790093548,20.088841493654243,3.336684347575451,0.03116777539253235,0.0013572309447949596,0.11211745057736629,0.0,8,3584
MXINT4,embed,Linear,output,4,0.0006173930206913791,18.12865666622571,3.0111046951051126,0.12499310821294785,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
MXINT4,classifier,Linear,input,4,0.019178513592192973,18.167377244054027,3.017536043872021,0.4813544750213623,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
MXINT4,classifier,Linear,weight,4,8.204529765626863e-05,19.559379108915977,3.248742549023046,0.015606723725795746,0.0006549509339151882,0.08609854314684062,0.0,8,1280
MXINT4,classifier,Linear,output,4,0.33626668141485283,16.665636636959025,2.768102328174916,0.9999351501464844,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
MXINT8,embed,Linear,input,8,1.4836041029747627e-06,48.24093586719786,8.012646009045202,0.007781863212585449,0.1365244546780963,0.31456167318907885,0.0,8,200704
MXINT8,embed,Linear,weight,8,4.742656643700757e-07,44.233247437089666,7.346983369468628,0.0019525755196809769,0.0013572309447949596,0.11211745057736629,0.0,8,3584
MXINT8,embed,Linear,output,8,2.3989241508280206e-06,42.23410865657891,7.014933605440752,0.007809989154338837,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
MXINT8,classifier,Linear,input,8,7.425517643528179e-05,42.28825934730533,7.023927840484833,0.030918002128601074,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
MXINT8,classifier,Linear,weight,8,3.2071234278792454e-07,43.63875931534443,7.248241029783512,0.0009759664535522461,0.0006549509339151882,0.08609854314684062,0.0,8,1280
MXINT8,classifier,Linear,output,8,0.0013165933797412625,40.73795834600844,6.766428417897827,0.06248617172241211,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
